"Date","Ticker","Z-Score","Z-Score_avg","Z-Score_hi","Z-Score_lo"
10/4/2024 0:00:00,"XLV",-0.20,0.16,1.55,-1.23
10/7/2024 0:00:00,"XLV",-0.02,0.16,1.55,-1.23
10/8/2024 0:00:00,"XLV",-0.28,0.16,1.55,-1.23
10/9/2024 0:00:00,"XLV",0.70,0.16,1.55,-1.23
10/10/2024 0:00:00,"XLV",0.68,0.16,1.55,-1.23
10/11/2024 0:00:00,"XLV",1.09,0.16,1.55,-1.23
10/14/2024 0:00:00,"XLV",1.38,0.16,1.55,-1.23
10/15/2024 0:00:00,"XLV",2.13,0.16,1.55,-1.23
10/16/2024 0:00:00,"XLV",1.10,0.16,1.55,-1.23
10/17/2024 0:00:00,"XLV",1.29,0.16,1.55,-1.23
10/18/2024 0:00:00,"XLV",1.34,0.16,1.55,-1.23
10/21/2024 0:00:00,"XLV",2.27,0.16,1.55,-1.23
10/22/2024 0:00:00,"XLV",1.78,0.16,1.55,-1.23
10/23/2024 0:00:00,"XLV",1.70,0.16,1.55,-1.23
10/24/2024 0:00:00,"XLV",1.12,0.16,1.55,-1.23
10/25/2024 0:00:00,"XLV",1.00,0.16,1.55,-1.23
10/28/2024 0:00:00,"XLV",0.98,0.16,1.55,-1.23
10/29/2024 0:00:00,"XLV",0.31,0.16,1.55,-1.23
10/30/2024 0:00:00,"XLV",0.15,0.16,1.55,-1.23
10/31/2024 0:00:00,"XLV",0.55,0.16,1.55,-1.23
11/1/2024 0:00:00,"XLV",0.51,0.16,1.55,-1.23
11/4/2024 0:00:00,"XLV",0.67,0.16,1.55,-1.23
11/5/2024 0:00:00,"XLV",1.29,0.16,1.55,-1.23
11/6/2024 0:00:00,"XLV",0.88,0.16,1.55,-1.23
11/7/2024 0:00:00,"XLV",-0.11,0.16,1.55,-1.23
11/8/2024 0:00:00,"XLV",0.88,0.16,1.55,-1.23
11/11/2024 0:00:00,"XLV",-0.18,0.16,1.55,-1.23
11/12/2024 0:00:00,"XLV",1.64,0.16,1.55,-1.23
11/13/2024 0:00:00,"XLV",-0.56,0.16,1.55,-1.23
11/14/2024 0:00:00,"XLV",2.34,0.16,1.55,-1.23
11/15/2024 0:00:00,"XLV",3.62,0.16,1.55,-1.23
11/18/2024 0:00:00,"XLV",2.46,0.16,1.55,-1.23
11/19/2024 0:00:00,"XLV",1.66,0.16,1.55,-1.23
11/20/2024 0:00:00,"XLV",2.56,0.16,1.55,-1.23
11/21/2024 0:00:00,"XLV",2.48,0.16,1.55,-1.23
11/22/2024 0:00:00,"XLV",2.02,0.16,1.55,-1.23
11/25/2024 0:00:00,"XLV",1.99,0.16,1.55,-1.23
11/26/2024 0:00:00,"XLV",1.83,0.16,1.55,-1.23
11/27/2024 0:00:00,"XLV",1.69,0.16,1.55,-1.23
11/29/2024 0:00:00,"XLV",1.54,0.16,1.55,-1.23
12/2/2024 0:00:00,"XLV",1.20,0.16,1.55,-1.23
12/3/2024 0:00:00,"XLV",1.01,0.16,1.55,-1.23
12/4/2024 0:00:00,"XLV",0.79,0.16,1.55,-1.23
12/5/2024 0:00:00,"XLV",0.89,0.16,1.55,-1.23
12/6/2024 0:00:00,"XLV",0.85,0.16,1.55,-1.23
12/9/2024 0:00:00,"XLV",0.60,0.16,1.55,-1.23
12/10/2024 0:00:00,"XLV",0.27,0.16,1.55,-1.23
12/11/2024 0:00:00,"XLV",0.66,0.16,1.55,-1.23
12/12/2024 0:00:00,"XLV",0.12,0.16,1.55,-1.23
12/13/2024 0:00:00,"XLV",-0.01,0.16,1.55,-1.23
12/16/2024 0:00:00,"XLV",-0.91,0.16,1.55,-1.23
12/17/2024 0:00:00,"XLV",-2.83,0.16,1.55,-1.23
12/18/2024 0:00:00,"XLV",-1.66,0.16,1.55,-1.23
12/19/2024 0:00:00,"XLV",-1.57,0.16,1.55,-1.23
12/20/2024 0:00:00,"XLV",-1.31,0.16,1.55,-1.23
12/23/2024 0:00:00,"XLV",-1.44,0.16,1.55,-1.23
12/24/2024 0:00:00,"XLV",-1.15,0.16,1.55,-1.23
12/26/2024 0:00:00,"XLV",-1.54,0.16,1.55,-1.23
12/27/2024 0:00:00,"XLV",-1.64,0.16,1.55,-1.23
12/30/2024 0:00:00,"XLV",-1.35,0.16,1.55,-1.23
12/31/2024 0:00:00,"XLV",-1.28,0.16,1.55,-1.23
1/2/2025 0:00:00,"XLV",-1.11,0.16,1.55,-1.23
1/3/2025 0:00:00,"XLV",-0.12,0.16,1.55,-1.23
1/6/2025 0:00:00,"XLV",-0.03,0.16,1.55,-1.23
