"Date","Ticker","ticker_name","exposure","category","close","model_score"
5/27/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",232.20,1.10
5/28/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",231.24,1.18
5/29/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",231.63,0.81
5/30/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",230.91,0.91
6/2/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",232.95,1.76
6/3/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",236.45,0.01
6/4/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",236.80,0.04
6/5/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",236.13,5.22
6/6/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",238.36,0.37
6/9/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",239.53,0.47
6/10/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",240.87,0.48
6/11/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",240.34,0.55
6/12/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",242.57,0.63
6/13/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",239.17,0.54
6/16/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",243.04,0.61
6/17/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",241.32,0.78
6/18/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",241.61,0.66
6/20/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",240.54,0.51
6/23/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",242.88,0.69
6/24/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",247.24,0.56
6/25/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",249.35,0.86
6/26/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",251.07,0.60
6/27/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",250.77,0.67
6/30/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",253.23,1.17
7/1/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",250.97,5.23
7/2/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",253.62,7.00
7/3/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",256.96,0.32
7/7/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",254.92,0.17
7/8/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",256.29,0.54
7/9/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",257.83,0.97
7/10/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",256.98,0.67
7/11/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",255.85,0.46
7/14/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",255.64,0.41
7/15/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",257.91,0.83
7/16/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",258.71,1.04
7/17/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",261.06,1.25
