Ticker,Date,Zscore,prem_disc
FANG,2025-08-06,-1.76,0.0568
FAST,2025-09-05,2.59,0.0597
FAST,2025-08-06,1.35,-0.0252
FCX,2025-09-05,-1.56,0.4306
FCX,2025-08-06,0.84,0.049
FDS,2025-09-05,-0.19,0.325
FDS,2025-08-06,1.91,0.0618
FDX,2025-09-05,-1.55,0.4938
FDX,2025-08-06,1.41,-0.5255
FE,2025-09-05,-2.01,0.5088
FE,2025-08-06,1.42,0.3107
FFIV,2025-09-05,-2.11,0.2399
FFIV,2025-08-06,2.03,-0.1382
FI,2025-09-05,-1.09,1.1521
FI,2025-08-06,0.92,-0.6363
FICO,2025-09-05,-0.85,0.079
FICO,2025-08-06,-2.25,0.0355
FIS,2025-09-05,-3.24,0.5275
FIS,2025-08-06,3.1,-0.3195
FITB,2025-09-05,0.85,0.2032
FITB,2025-08-06,-1.64,0.8114
FOXA,2025-09-05,-0.63,-0.0317
FOXA,2025-08-06,0.86,0.0692
FRO,2025-09-05,-1.69,0.2304
FRO,2025-08-06,-0.61,1.1181
FRT,2025-09-05,-0.22,-0.181
FRT,2025-08-06,1.71,0.2006
FSLR,2025-09-05,0.74,-0.2376
FSLR,2025-08-06,-1.62,-0.4594
FTI,2025-09-05,-0.86,0.3742
FTI,2025-08-06,1.09,-0.0602
FTNT,2025-09-05,1.47,-0.6889
FTNT,2025-08-06,-0.44,-0.1
FTV,2025-09-05,-2.25,0.2982
FTV,2025-08-06,2.72,-0.012
FVX,2025-09-05,-1.58,-1.0
FVX,2025-08-06,1.85,-1.0
FXA,2025-09-05,-1.06,0.576
FXA,2025-08-06,-1.05,-0.0949
FXB,2025-09-05,0.64,0.2642
FXB,2025-08-06,-0.15,0.2983
FXC,2025-09-05,-0.58,4.9779
FXC,2025-08-06,-2.25,1.3987
FXE,2025-09-05,-1.86,0.1783
FXE,2025-08-06,1.98,0.1777
FXY,2025-09-05,-1.83,0.857
FXY,2025-08-06,1.84,-0.1476
GD,2025-09-05,-0.94,0.6976
GD,2025-08-06,0.92,-0.2451
GDDY,2025-09-05,0.17,-0.4463
GDDY,2025-08-06,1.53,0.5932
GDX,2025-09-05,-1.75,0.439
GDX,2025-08-06,0.04,0.0629
GDXJ,2025-09-05,-1.28,0.3309
GDXJ,2025-08-06,0.87,0.1088
GE,2025-09-05,-0.34,0.2789
GE,2025-08-06,-1.01,-0.0062
GEHC,2025-09-05,-1.27,0.1951
GEHC,2025-08-06,1.49,-0.3603
GEN,2025-09-05,0.22,-0.0095
GEN,2025-08-06,-0.27,0.2201
GEOS,2025-09-05,-0.86,-0.1537
GEOS,2025-08-06,-0.81,-0.422
GEV,2025-09-05,-0.51,0.1954
GEV,2025-08-06,0.88,-0.6357
GGB,2025-09-05,-0.94,4.8775
GGB,2025-08-06,-0.39,0.4254
GILD,2025-09-05,-1.29,-0.2151
GILD,2025-08-06,1.76,0.1648
GIS,2025-09-05,-0.2,0.8363
GIS,2025-08-06,-1.78,0.3751
GL,2025-09-05,-1.5,0.8503
GL,2025-08-06,1.14,-0.4054
GLATF,2025-09-05,0.99,-1.0
GLATF,2025-08-06,-1.13,0.0445
GLD,2025-09-05,-0.44,0.305
GLD,2025-08-06,0.49,0.0584
GLW,2025-09-05,-1.32,0.1894
GLW,2025-08-06,1.4,-0.2387
GM,2025-09-05,-1.04,0.5468
GM,2025-08-06,0.7,-0.4769
GNK,2025-09-05,-1.7,0.6614
GNK,2025-08-06,0.17,0.4601
GNRC,2025-09-05,-1.53,0.1418
GNRC,2025-08-06,1.55,-0.7144
GOOGL,2025-09-05,2.32,-0.149
GOOGL,2025-08-06,-0.7,0.5107
GPC,2025-09-05,-0.41,0.1707
GPC,2025-08-06,0.81,-0.1505
GPN,2025-09-05,-3.58,0.0066
GPN,2025-08-06,3.58,-0.5035
GREK,2025-09-05,-2.54,0.1838
GREK,2025-08-06,-0.65,-1.0
GRMN,2025-09-05,-1.56,0.1279
GRMN,2025-08-06,1.55,-0.3305
GS,2025-09-05,1.15,0.1258
GS,2025-08-06,-1.65,0.2724
GWW,2025-09-05,-1.79,-0.1309
GWW,2025-08-06,2.09,-0.3811
HAL,2025-09-05,1.49,0.0567
