Date,Ticker,monthly_range,monthly_range_avg,monthly_range_hi,monthly_range_lo
2025-03-01,AON,25.8,34.9,50.1,19.7
2025-04-01,AON,77.3,34.9,50.1,19.7
2025-05-01,AON,25.6,34.9,50.1,19.7
2025-06-01,AON,33.2,34.9,50.1,19.7
2025-07-01,AON,35.2,34.9,50.1,19.7
2025-08-01,AON,27.3,34.9,50.1,19.7
2025-09-01,AON,9.9,34.9,50.1,19.7
2024-08-01,AOS,7.2,8.2,12.0,4.4
2024-09-01,AOS,15.4,8.2,12.0,4.4
2024-10-01,AOS,15.3,8.2,12.0,4.4
2024-11-01,AOS,7.2,8.2,12.0,4.4
2024-12-01,AOS,7.5,8.2,12.0,4.4
2025-01-01,AOS,7.6,8.2,12.0,4.4
2025-02-01,AOS,3.2,8.2,12.0,4.4
2025-03-01,AOS,6.3,8.2,12.0,4.4
2025-04-01,AOS,9.4,8.2,12.0,4.4
2025-05-01,AOS,7.3,8.2,12.0,4.4
2025-06-01,AOS,4.0,8.2,12.0,4.4
2025-07-01,AOS,12.0,8.2,12.0,4.4
2025-08-01,AOS,4.3,8.2,12.0,4.4
2025-09-01,AOS,4.1,8.2,12.0,4.4
2024-08-01,APA,6.6,4.5,5.9,3.0
2024-09-01,APA,5.2,4.5,5.9,3.0
2024-10-01,APA,4.3,4.5,5.9,3.0
2024-11-01,APA,3.8,4.5,5.9,3.0
2024-12-01,APA,3.0,4.5,5.9,3.0
2025-01-01,APA,3.9,4.5,5.9,3.0
2025-02-01,APA,4.1,4.5,5.9,3.0
2025-03-01,APA,3.8,4.5,5.9,3.0
2025-04-01,APA,7.7,4.5,5.9,3.0
2025-05-01,APA,3.5,4.5,5.9,3.0
2025-06-01,APA,4.3,4.5,5.9,3.0
2025-07-01,APA,2.7,4.5,5.9,3.0
2025-08-01,APA,5.6,4.5,5.9,3.0
2025-09-01,APA,1.4,4.5,5.9,3.0
2024-08-01,APD,24.2,35.1,47.5,22.8
2024-09-01,APD,34.7,35.1,47.5,22.8
