"Date","Ticker","prem_disc","prem_disc_avg","prem_disc_hi","prem_disc_lo"
7/28/2025 0:00:00,"XLK","0.7476","-0.0017","0.3083","-0.3117"
7/29/2025 0:00:00,"XLK","0.8307","-0.0017","0.3083","-0.3117"
7/30/2025 0:00:00,"XLK","1.0057","-0.0017","0.3083","-0.3117"
7/31/2025 0:00:00,"XLK","0.9773","-0.0017","0.3083","-0.3117"
8/1/2025 0:00:00,"XLK","0.8624","-0.0017","0.3083","-0.3117"
8/4/2025 0:00:00,"XLK","0.4874","-0.0017","0.3083","-0.3117"
8/5/2025 0:00:00,"XLK","0.4150","-0.0017","0.3083","-0.3117"
8/6/2025 0:00:00,"XLK","0.4778","-0.0017","0.3083","-0.3117"
8/7/2025 0:00:00,"XLK","0.3773","-0.0017","0.3083","-0.3117"
8/8/2025 0:00:00,"XLK","0.2580","-0.0017","0.3083","-0.3117"
8/11/2025 0:00:00,"XLK","0.2158","-0.0017","0.3083","-0.3117"
8/12/2025 0:00:00,"XLK","-0.0092","-0.0017","0.3083","-0.3117"
8/13/2025 0:00:00,"XLK","0.1292","-0.0017","0.3083","-0.3117"
8/14/2025 0:00:00,"XLK","0.1867","-0.0017","0.3083","-0.3117"
8/15/2025 0:00:00,"XLK","0.1990","-0.0017","0.3083","-0.3117"
8/18/2025 0:00:00,"XLK","0.2254","-0.0017","0.3083","-0.3117"
8/19/2025 0:00:00,"XLK","0.2201","-0.0017","0.3083","-0.3117"
8/20/2025 0:00:00,"XLK","0.1503","-0.0017","0.3083","-0.3117"
8/21/2025 0:00:00,"XLK","0.1016","-0.0017","0.3083","-0.3117"
8/22/2025 0:00:00,"XLK","0.1132","-0.0017","0.3083","-0.3117"
8/25/2025 0:00:00,"XLK","0.1581","-0.0017","0.3083","-0.3117"
8/26/2025 0:00:00,"XLK","0.1592","-0.0017","0.3083","-0.3117"
8/27/2025 0:00:00,"XLK","0.0026","-0.0017","0.3083","-0.3117"
8/28/2025 0:00:00,"XLK","0.0706","-0.0017","0.3083","-0.3117"
8/29/2025 0:00:00,"XLK","0.0211","-0.0017","0.3083","-0.3117"
8/1/2024 0:00:00,"XLV","0.2177","0.1521","0.5405","-0.2363"
8/2/2024 0:00:00,"XLV","0.8246","0.1521","0.5405","-0.2363"
8/5/2024 0:00:00,"XLV","0.2991","0.1521","0.5405","-0.2363"
8/6/2024 0:00:00,"XLV","0.0087","0.1521","0.5405","-0.2363"
8/7/2024 0:00:00,"XLV","0.1608","0.1521","0.5405","-0.2363"
8/8/2024 0:00:00,"XLV","-0.0245","0.1521","0.5405","-0.2363"
8/9/2024 0:00:00,"XLV","0.1793","0.1521","0.5405","-0.2363"
8/12/2024 0:00:00,"XLV","-0.2978","0.1521","0.5405","-0.2363"
8/13/2024 0:00:00,"XLV","-0.1591","0.1521","0.5405","-0.2363"
8/14/2024 0:00:00,"XLV","-0.2681","0.1521","0.5405","-0.2363"
8/15/2024 0:00:00,"XLV","-0.3534","0.1521","0.5405","-0.2363"
